County,State,Pop_2023,Case_count_2023,incidence_rate_per_100k,full_county
Anderson County,Tennessee,80343,0,0.0,"Anderson County, Tennessee"
Bedford County,Tennessee,53274,0,0.0,"Bedford County, Tennessee"
Benton County,Tennessee,16167,0,0.0,"Benton County, Tennessee"
Bledsoe County,Tennessee,15008,0,0.0,"Bledsoe County, Tennessee"
Blount County,Tennessee,141384,0,0.0,"Blount County, Tennessee"
Bradley County,Tennessee,112132,0,0.0,"Bradley County, Tennessee"
Campbell County,Tennessee,40225,1,2.49,"Campbell County, Tennessee"
Cannon County,Tennessee,15051,0,0.0,"Cannon County, Tennessee"
Carroll County,Tennessee,28950,0,0.0,"Carroll County, Tennessee"
Carter County,Tennessee,57112,2,3.5,"Carter County, Tennessee"
Cheatham County,Tennessee,42247,0,0.0,"Cheatham County, Tennessee"
Chester County,Tennessee,17722,0,0.0,"Chester County, Tennessee"
Claiborne County,Tennessee,32738,1,3.05,"Claiborne County, Tennessee"
Clay County,Tennessee,7672,0,0.0,"Clay County, Tennessee"
Cocke County,Tennessee,37272,0,0.0,"Cocke County, Tennessee"
Coffee County,Tennessee,60472,0,0.0,"Coffee County, Tennessee"
Crockett County,Tennessee,13991,0,0.0,"Crockett County, Tennessee"
Cumberland County,Tennessee,64848,4,6.17,"Cumberland County, Tennessee"
Davidson County,Tennessee,719092,3,0.42,"Davidson County, Tennessee"
Decatur County,Tennessee,11709,0,0.0,"Decatur County, Tennessee"
DeKalb County,Tennessee,21337,0,0.0,"DeKalb County, Tennessee"
Dickson County,Tennessee,56835,0,0.0,"Dickson County, Tennessee"
Dyer County,Tennessee,36432,0,0.0,"Dyer County, Tennessee"
Fayette County,Tennessee,44082,0,0.0,"Fayette County, Tennessee"
Fentress County,Tennessee,19708,0,0.0,"Fentress County, Tennessee"
Franklin County,Tennessee,44682,0,0.0,"Franklin County, Tennessee"
Gibson County,Tennessee,51152,0,0.0,"Gibson County, Tennessee"
Giles County,Tennessee,30815,0,0.0,"Giles County, Tennessee"
Grainger County,Tennessee,24697,2,8.1,"Grainger County, Tennessee"
Greene County,Tennessee,72546,1,1.38,"Greene County, Tennessee"
Grundy County,Tennessee,13992,0,0.0,"Grundy County, Tennessee"
Hamblen County,Tennessee,66466,0,0.0,"Hamblen County, Tennessee"
Hamilton County,Tennessee,381272,0,0.0,"Hamilton County, Tennessee"
Hancock County,Tennessee,6963,1,14.36,"Hancock County, Tennessee"
Hardeman County,Tennessee,25523,0,0.0,"Hardeman County, Tennessee"
Hardin County,Tennessee,27449,0,0.0,"Hardin County, Tennessee"
Hawkins County,Tennessee,58608,0,0.0,"Hawkins County, Tennessee"
Haywood County,Tennessee,17312,0,0.0,"Haywood County, Tennessee"
Henderson County,Tennessee,28065,0,0.0,"Henderson County, Tennessee"
Henry County,Tennessee,32454,0,0.0,"Henry County, Tennessee"
Hickman County,Tennessee,25788,0,0.0,"Hickman County, Tennessee"
Houston County,Tennessee,8398,0,0.0,"Houston County, Tennessee"
