Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2008,9,6,8,0,74,3,3896,772,74,88,35,9,108,42,109,16,5,3,908,2218,4582,92,1282,1,6,17,12,12,1601,3485,8,7794,47,10,45,2,38,3818,210,29,3,31,153,5,404,933,23,135,2034,3
2009,3,7,7,0,117,1,4156,984,61,110,40,16,136,83,108,18,1,0,970,2024,5256,103,1543,0,3,3,5,13,1415,4973,5,5651,96,15,58,2,38,5722,235,42,1,37,276,9,408,908,16,201,2589,3
2010,2,7,2,0,129,3,3068,656,42,84,10,9,135,78,85,10,5,3,751,1617,3263,95,1960,0,4,4,8,2,1339,3712,5,3425,82,33,44,0,39,3805,181,29,1,36,142,3,356,1245,16,145,3488,0
2011,24,11,15,0,92,0,3039,873,0,115,32,4,194,94,100,17,3,2,1006,1351,2476,104,2124,5,8,11,11,5,1299,4262,6,4490,88,27,53,2,38,5362,159,37,4,37,74,9,623,1023,19,118,3649,2
2012,25,10,13,0,70,0,2657,669,0,118,31,5,204,74,165,19,14,7,1111,1651,5138,98,1515,1,2,6,15,10,1450,3576,1,2998,122,15,67,4,48,5033,217,44,4,30,75,5,522,1110,15,97,1766,4
2013,24,14,32,0,112,0,2925,509,35,138,8,19,337,110,247,34,40,0,1373,1197,5290,168,2340,0,3,18,10,16,1687,3766,6,4615,180,29,93,3,43,5758,724,42,4,25,82,15,893,1307,18,143,1872,3
2014,64,8,21,0,73,0,2360,417,40,155,4,9,233,110,194,20,44,2,1401,1373,5304,127,1416,2,10,7,7,6,724,3286,0,3736,170,14,119,0,45,7487,904,37,2,17,40,13,599,1346,15,136,1361,3
2015,25,9,12,0,98,0,2541,435,121,166,8,9,287,138,318,23,49,3,1201,1728,4224,148,1805,4,5,5,11,7,529,4855,0,4314,230,33,154,0,31,9048,904,42,5,26,54,7,710,1539,24,289,1894,1
2016,38,15,13,2,134,0,1748,506,103,216,4,17,237,152,232,39,33,7,1487,1866,198,221,2126,1,10,17,14,15,891,4350,1,3882,272,32,160,0,61,11443,903,51,11,25,71,19,761,1350,31,368,2295,1
2017,41,10,28,6,145,4,2051,608,84,210,8,20,273,142,255,40,20,12,1850,1891,410,291,2318,1,12,12,14,17,1381,5092,3,5155,295,56,270,1,84,11900,1132,21,12,47,58,25,1092,1657,37,648,3000,4
2018,36,11,7,4,104,3,1859,520,79,169,19,9,276,155,283,30,22,4,1405,1382,16,262,1541,4,11,7,15,14,1428,4000,2,3638,212,33,293,0,70,10208,1111,39,7,29,47,27,576,1139,20,671,1869,0
2019,66,3,10,18,144,8,1233,641,100,162,18,14,395,189,303,35,22,8,2167,1417,7,413,1528,4,17,8,10,17,1710,3619,7,4243,334,38,467,0,65,8998,971,47,10,45,41,19,1064,1199,43,885,2178,5
2020,14,0,2,12,53,0,614,355,120,121,32,6,295,212,257,17,32,2,1128,842,107,468,0,1,7,3,5,4,299,2566,0,2240,264,36,409,0,39,3334,839,48,8,38,11,14,59,555,20,1065,1447,0
2021,51,0,3,11,106,0,541,140,91,193,35,6,540,314,359,22,41,4,1510,916,27,862,1902,1,7,13,10,17,397,3518,2,3006,338,34,590,0,74,2900,980,76,16,57,32,18,115,705,43,1792,2193,2
2022,32,7,9,2,77,10,2022,298,77,233,31,10,259,236,154,9,72,5,2653,2035,5052,557,2685,3,7,13,9,10,1085,5897,3,16798,279,22,553,0,61,8413,2326,44,12,32,23,16,1312,1403,23,2470,5208,4
2023,36,2,16,5,109,32,3239,349,108,271,18,11,372,257,212,12,120,15,2942,2470,9715,1152,2938,4,16,11,5,14,1573,7224,11,22173,228,15,1307,3,61,16671,2852,55,7,50,27,16,1445,1747,25,3242,6283,2
